epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.64663,0.80731,3.90265,1.14756,0.01643,0.77778,0.203,0.1518,0.67694,3.84501,0.94679,1.666e-05,1.666e-05,1.666e-05
2,10.9479,0.75412,3.79323,1.12983,0.01966,0.88889,0.47196,0.35847,0.62868,3.80663,0.87828,4.08253e-05,4.08253e-05,4.08253e-05
3,14.1921,0.665,3.65483,1.04598,0.0241,0.88889,0.6021,0.4743,0.59078,3.73707,0.93782,6.40011e-05,6.40011e-05,6.40011e-05
4,17.0485,0.67941,3.36234,1.05245,0.03419,0.88889,0.62266,0.46453,0.58234,3.68539,0.93148,8.61872e-05,8.61872e-05,8.61872e-05
5,20.068,0.76563,3.04544,1.03989,0.05769,1,0.71708,0.60245,0.54843,3.55795,0.91221,0.000107384,0.000107384,0.000107384
6,23.0344,0.62638,2.59148,0.99146,0.06818,1,0.83642,0.74419,0.43431,3.29506,0.81561,0.000127591,0.000127591,0.000127591
7,26.1019,0.7225,2.24226,1.0549,1,0.70705,0.951,0.77315,0.55298,2.91747,0.83497,0.000146808,0.000146808,0.000146808
8,29.2392,0.61616,1.64808,1.0006,1,0.84849,0.984,0.85863,0.55701,2.6014,0.85967,0.000165036,0.000165036,0.000165036
9,32.3795,0.63322,1.20844,1.02773,1,0.77572,0.96278,0.82774,0.74657,2.49241,0.98135,0.000182274,0.000182274,0.000182274
10,35.4905,0.66255,1.1717,1.0423,1,0.77394,0.96278,0.809,0.70056,2.25494,0.93516,0.000198522,0.000198522,0.000198522
11,38.6226,0.66901,1.1589,1.08201,1,0.77125,0.94324,0.78022,0.74202,2.25295,0.94343,0.000213781,0.000213781,0.000213781
12,41.6623,0.63504,1.11425,1.03467,1,0.80249,0.91295,0.75247,0.73458,2.4147,0.92081,0.00022805,0.00022805,0.00022805
13,44.7891,0.59801,1.01614,1.01803,0.98809,0.77778,0.96278,0.80694,0.6227,2.25534,0.89774,0.00024133,0.00024133,0.00024133
14,48.2159,0.56225,0.9852,0.98828,1,0.85163,0.984,0.75159,0.73106,1.99847,0.89524,0.00025362,0.00025362,0.00025362
