epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.981,1.40262,3.02637,1.49592,0.67161,0.55002,0.61465,0.36282,1.24828,2.26734,1.32245,0.000255552,0.000255552,0.000255552
2,406.433,1.38771,1.9929,1.40436,0.61531,0.57324,0.57753,0.36303,1.28469,1.98442,1.27161,0.00050175,0.00050175,0.00050175
3,633.809,1.39973,1.721,1.38265,0.68929,0.47662,0.52895,0.33522,1.25552,1.73029,1.29646,0.000737797,0.000737797,0.000737797
4,873.555,1.3657,1.52364,1.35883,0.78857,0.67809,0.74579,0.469,1.2011,1.25044,1.24722,0.000723321,0.000723321,0.000723321
5,1092.66,1.30208,1.32744,1.31462,0.83143,0.64566,0.79649,0.51872,1.26382,1.14667,1.23473,0.000708095,0.000708095,0.000708095
6,1301.57,1.27328,1.23827,1.29875,0.81488,0.73296,0.85683,0.56673,1.20125,0.99438,1.2253,0.000692869,0.000692869,0.000692869
7,1510.01,1.2567,1.15457,1.27515,0.77326,0.78041,0.82526,0.5536,1.1797,0.95507,1.22034,0.000677643,0.000677643,0.000677643
8,1716.28,1.24181,1.1294,1.27264,0.78133,0.78819,0.83379,0.56376,1.12417,0.92092,1.16581,0.000662417,0.000662417,0.000662417
9,1925.93,1.19254,1.0547,1.24782,0.82008,0.74892,0.85175,0.57178,1.19958,0.91175,1.21617,0.00064719,0.00064719,0.00064719
10,2134.49,1.17273,1.00036,1.22681,0.81964,0.88338,0.88403,0.59009,1.16025,0.83023,1.19736,0.000631964,0.000631964,0.000631964
11,2353.55,1.15794,0.97505,1.22333,0.74114,0.8284,0.85555,0.56884,1.20368,0.81747,1.2277,0.000616738,0.000616738,0.000616738
12,2591.6,1.15793,0.95594,1.21626,0.81374,0.88244,0.89191,0.60313,1.16899,0.77779,1.20687,0.000601512,0.000601512,0.000601512
13,2842.93,1.1078,0.89229,1.18685,0.87257,0.8466,0.89017,0.60084,1.16597,0.76037,1.20096,0.000586286,0.000586286,0.000586286
14,3088.56,1.11803,0.88193,1.18783,0.86934,0.88057,0.90367,0.61128,1.13732,0.71666,1.18833,0.000571059,0.000571059,0.000571059
15,3325.28,1.09817,0.8509,1.17885,0.82768,0.87461,0.90409,0.61135,1.14221,0.72903,1.20864,0.000555833,0.000555833,0.000555833
16,3560.92,1.08596,0.8305,1.17391,0.86225,0.90308,0.92233,0.63435,1.13651,0.66244,1.17052,0.000540607,0.000540607,0.000540607
17,3782.68,1.08356,0.80168,1.17059,0.83692,0.87851,0.92539,0.62859,1.1249,0.69692,1.17788,0.000525381,0.000525381,0.000525381
18,5049.51,1.07236,0.79313,1.16353,0.85562,0.91407,0.91195,0.60673,1.16761,0.70256,1.21767,0.000510155,0.000510155,0.000510155
19,5266.53,1.04727,0.78306,1.1555,0.91145,0.90097,0.9194,0.63036,1.11287,0.68934,1.17816,0.000494928,0.000494928,0.000494928
20,5481.36,1.02801,0.7505,1.14143,0.83288,0.87041,0.89809,0.60414,1.13534,0.70491,1.20238,0.000479702,0.000479702,0.000479702
21,5701.08,1.01952,0.73871,1.13866,0.82257,0.90024,0.91378,0.622,1.11738,0.65702,1.16307,0.000464476,0.000464476,0.000464476
22,5910.68,1.02255,0.74676,1.14059,0.88723,0.88118,0.91682,0.6041,1.12308,0.6795,1.19202,0.00044925,0.00044925,0.00044925
23,6121.17,1.00187,0.72051,1.13247,0.84417,0.89014,0.90857,0.61504,1.1365,0.68228,1.20932,0.000434024,0.000434024,0.000434024
24,6333.25,1.00111,0.7181,1.13149,0.8672,0.9088,0.92713,0.63883,1.11826,0.64014,1.16209,0.000418797,0.000418797,0.000418797
25,6552.97,0.9816,0.69488,1.11864,0.84604,0.87568,0.91228,0.62045,1.14806,0.65966,1.22088,0.000403571,0.000403571,0.000403571
26,6761.58,0.97654,0.68645,1.11095,0.85299,0.88598,0.92979,0.64269,1.12285,0.62074,1.1908,0.000388345,0.000388345,0.000388345
27,6964.83,0.96427,0.67361,1.10777,0.84813,0.915,0.92954,0.6301,1.13995,0.62391,1.20075,0.000373119,0.000373119,0.000373119
