epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.693,1.39575,2.69996,1.41403,0.643,0.59673,0.62919,0.39597,1.24193,2.32347,1.252,0.000255552,0.000255552,0.000255552
2,405.994,1.33209,1.88147,1.33297,0.57563,0.61645,0.55788,0.33768,1.35174,2.164,1.38803,0.000486547,0.000486547,0.000486547
3,642,1.32858,1.60743,1.33033,0.73632,0.66481,0.7205,0.4594,1.27212,1.35121,1.31836,0.000692165,0.000692165,0.000692165
4,885.391,1.28876,1.42247,1.31128,0.67644,0.79897,0.79072,0.49961,1.22478,1.10664,1.25512,0.000654804,0.000654804,0.000654804
5,1090.73,1.22782,1.24,1.26929,0.7386,0.73515,0.79355,0.52564,1.22086,1.10455,1.3064,0.000616738,0.000616738,0.000616738
6,1292.39,1.19524,1.13811,1.25243,0.7514,0.83074,0.82937,0.53308,1.18611,1.02427,1.2628,0.000578672,0.000578672,0.000578672
7,1492.3,1.17221,1.06693,1.23644,0.73638,0.83363,0.84061,0.53978,1.21756,0.97403,1.28863,0.000540607,0.000540607,0.000540607
8,1697.33,1.15673,1.01327,1.23109,0.79608,0.81403,0.86816,0.5832,1.13731,0.88682,1.21499,0.000502541,0.000502541,0.000502541
9,1910.56,1.10382,0.94675,1.19567,0.74649,0.86694,0.84817,0.56748,1.16275,0.87086,1.23502,0.000464476,0.000464476,0.000464476
10,2136.63,1.07984,0.88228,1.17935,0.79044,0.86616,0.85732,0.55255,1.21254,0.82735,1.28712,0.000426411,0.000426411,0.000426411
